[18:52:26] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x32 | FRAME: AA 02 32 9A
[18:52:29] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x35 | FRAME: AA 02 35 9D
[18:52:32] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x38 | FRAME: AA 02 38 90
[19:01:26] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x20 | FRAME: AA 02 20 88
[19:01:27] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x21 | FRAME: AA 03 21 88
[19:01:28] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x22 | FRAME: AA 01 22 89
[19:01:29] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x23 | FRAME: AA 02 23 8B
[19:01:30] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x24 | FRAME: AA 03 24 8D
[19:01:31] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x25 | FRAME: AA 01 25 8E
[19:01:32] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x26 | FRAME: AA 02 26 8E
[19:01:33] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x27 | FRAME: AA 03 27 8E
[19:01:34] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x28 | FRAME: AA 01 28 83
[19:01:35] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x29 | FRAME: AA 02 29 81
[19:01:36] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x2A | FRAME: AA 03 2A 83
[19:01:37] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x2B | FRAME: AA 01 2B 80
[19:01:38] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2C | FRAME: AA 02 2C 84
[19:01:39] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x2D | FRAME: AA 03 2D 84
[19:01:40] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x2E | FRAME: AA 01 2E 85
[19:01:41] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2F | FRAME: AA 02 2F 87
[19:01:42] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x30 | FRAME: AA 03 30 99
[19:01:43] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x31 | FRAME: AA 01 31 9A
[19:01:44] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x32 | FRAME: AA 02 32 9A
[19:01:45] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x33 | FRAME: AA 03 33 9A
[19:01:46] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x34 | FRAME: AA 01 34 9F
[19:01:47] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x35 | FRAME: AA 02 35 9D
[19:01:48] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x36 | FRAME: AA 03 36 9F
[19:01:49] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x37 | FRAME: AA 01 37 9C
[19:01:50] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x38 | FRAME: AA 02 38 90
[19:01:51] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x39 | FRAME: AA 03 39 90
[19:01:52] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x3A | FRAME: AA 01 3A 91
[19:01:53] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3B | FRAME: AA 02 3B 93
[19:01:54] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x3C | FRAME: AA 03 3C 95
[19:01:55] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x3D | FRAME: AA 01 3D 96
[19:01:56] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3E | FRAME: AA 02 3E 96
[19:01:57] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x3F | FRAME: AA 03 3F 96
[19:01:58] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x40 | FRAME: AA 01 40 EB
[19:01:59] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x41 | FRAME: AA 02 41 E9
[19:02:00] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x42 | FRAME: AA 03 42 EB
[19:02:01] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x43 | FRAME: AA 01 43 E8
[19:02:02] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x44 | FRAME: AA 02 44 EC
[19:02:03] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x45 | FRAME: AA 03 45 EC
[19:02:04] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x46 | FRAME: AA 01 46 ED
[19:02:05] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x47 | FRAME: AA 02 47 EF
[19:02:06] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x48 | FRAME: AA 03 48 E1
[19:02:07] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x49 | FRAME: AA 01 49 E2
[19:02:08] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x4A | FRAME: AA 02 4A E2
[19:02:09] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x4B | FRAME: AA 03 4B E2
[19:03:00] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x14 | FRAME: AA 02 14 BC
[19:03:01] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x15 | FRAME: AA 03 15 BC
[19:03:02] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x16 | FRAME: AA 01 16 BD
[19:03:03] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x17 | FRAME: AA 02 17 BF
[19:03:04] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x18 | FRAME: AA 03 18 B1
[19:03:05] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x19 | FRAME: AA 01 19 B2
[19:03:06] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x1A | FRAME: AA 02 1A B2
[19:03:07] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x1B | FRAME: AA 03 1B B2
[19:03:08] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x1C | FRAME: AA 01 1C B7
[19:03:09] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x1D | FRAME: AA 02 1D B5
[19:03:10] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x1E | FRAME: AA 03 1E B7
[19:03:11] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x1F | FRAME: AA 01 1F B4
[19:03:12] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x20 | FRAME: AA 02 20 88
[19:03:13] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x21 | FRAME: AA 03 21 88
[19:03:14] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x22 | FRAME: AA 01 22 89
[19:03:15] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x23 | FRAME: AA 02 23 8B
[19:03:16] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x24 | FRAME: AA 03 24 8D
[19:03:17] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x25 | FRAME: AA 01 25 8E
[19:03:18] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x26 | FRAME: AA 02 26 8E
[19:03:19] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x27 | FRAME: AA 03 27 8E
[19:03:20] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x28 | FRAME: AA 01 28 83
[19:03:21] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x29 | FRAME: AA 02 29 81
[19:03:22] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x2A | FRAME: AA 03 2A 83
[19:03:23] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x2B | FRAME: AA 01 2B 80
[19:03:24] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2C | FRAME: AA 02 2C 84
[19:03:25] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x2D | FRAME: AA 03 2D 84
[19:03:26] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x2E | FRAME: AA 01 2E 85
[19:03:27] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2F | FRAME: AA 02 2F 87
[19:03:28] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x30 | FRAME: AA 03 30 99
[19:03:29] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x31 | FRAME: AA 01 31 9A
[19:03:30] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x32 | FRAME: AA 02 32 9A
[19:03:31] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x33 | FRAME: AA 03 33 9A
